Generated using PyEER 0.5.5
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
efficientnet_b4_male,0.88718444,0.10452403,0.5755548,0.13722137,2.554900365668803,0.9596856112192872,0.8288641066745561,0.759868860244751,0.6103910368125658,0.866144061088562,0.08765630803516157,0.08766233766233766,0.08765932284874961,0.9935064935064936,0.8603896103896104,0.45454545454545453,0.1590909090909091,0.07467532467532467,0.998266683174446,0.7660603523254395,1.0692007541656494,0.9791028499603271,0.893445611000061,0.8068877458572388,0.7561179399490356,0.21536707878112793
efficientnet_b4_female,0.8953189,0.09102017,0.55171484,0.14108187,2.894245038701592,0.9769743815242177,0.8511941251962278,0.7493683099746704,0.6936801606105681,0.8408934473991394,0.07614213197969544,0.077313769751693,0.07672795086569423,0.9086294416243654,0.6725888324873096,0.39593908629441626,0.12436548223350254,0.06345177664974619,0.271303611738149,0.755422830581665,1.0070946216583252,0.9407830238342285,0.8808146715164185,0.78733229637146,0.7345846891403198,0.6401073932647705
efficientnet_b4_all,0.88794833,0.104088336,0.5261413,0.14807044,2.8269956021248834,0.9714388992793598,0.8623029435521536,0.7473436594009399,0.6116738030535662,0.8650561571121216,0.0688976377952756,0.06947836706210747,0.06918800242869153,0.9881889763779528,0.7883858267716536,0.35531496062992124,0.10236220472440945,0.05511811023622047,0.9834263782274948,0.7476595044136047,1.0676910877227783,0.9646480083465576,0.8697023391723633,0.7718968391418457,0.7175764441490173,0.21527352929115295
densenet121_male,0.89429593,0.09974659,0.6035777,0.14160345,2.3736681910761455,0.9555366247594178,0.8228188024678058,0.7781149744987488,0.5678462254731694,0.8667084574699402,0.094094341958648,0.09415584415584416,0.09412509305724609,0.9983766233766234,0.8733766233766234,0.538961038961039,0.18831168831168832,0.08766233766233766,0.9876191655317569,0.7918828725814819,1.1081424951553345,0.9805619716644287,0.9139791131019592,0.8347880840301514,0.7875654697418213,0.2612117528915405
densenet121_female,0.91863865,0.08111152,0.5792033,0.14779794,2.8473098044252905,0.9736592768502711,0.8297694824168396,0.811678409576416,0.6671379163128648,0.8799570798873901,0.09128103837471783,0.09137055837563451,0.09132579837517618,0.9949238578680203,0.817258883248731,0.4365482233502538,0.15228426395939088,0.08121827411167512,0.2981094808126411,0.7916542291641235,1.0853310823440552,0.9885114431381226,0.9189397096633911,0.8351998329162598,0.7815901041030884,0.6572940945625305
densenet121_all,0.9005798,0.10245611,0.54117715,0.15187338,2.7743888697630514,0.9705537679404477,0.8625050483265656,0.7694826126098633,0.6009318905164993,0.8764368295669556,0.06987090020935101,0.06988188976377953,0.06987639498656527,0.9990157480314961,0.8041338582677166,0.38976377952755903,0.10236220472440945,0.04921259842519685,0.9866102581995813,0.7711910605430603,1.1081583499908447,0.9733506441116333,0.8916552066802979,0.7968833446502686,0.7411951422691345,0.22120827436447144
inception_v3_male,0.8463216,0.09298302,0.56906426,0.11473366,2.6550556431724543,0.9628795047344632,0.8280177480066052,0.7260209918022156,0.6394906695474301,0.8450560569763184,0.08766233766233766,0.08833725393091495,0.08799979579662631,0.9918831168831169,0.8003246753246753,0.39935064935064934,0.14772727272727273,0.08116883116883117,0.8243159588956296,0.7285171747207642,1.0373420715332031,0.9196425080299377,0.8378458023071289,0.7616310119628906,0.719640851020813,0.4605621099472046
inception_v3_female,0.8644361,0.08927197,0.56302106,0.11151491,2.9840834117089035,0.9753239907873177,0.8346930824672572,0.7192001938819885,0.6902115057848224,0.8307473659515381,0.0836625282167043,0.08375634517766498,0.08370943669718464,0.8934010152284264,0.7258883248730964,0.38071065989847713,0.16243654822335024,0.06852791878172589,0.32406884875846503,0.7253689765930176,0.968982994556427,0.9239261150360107,0.8501531481742859,0.7671583890914917,0.7114537954330444,0.6072952151298523
inception_v3_all,0.8512563,0.09581839,0.53736055,0.11352678,2.9881628903718727,0.9738406427893411,0.8557677646147337,0.7257338166236877,0.6563810386753726,0.8339923620223999,0.07381803907885555,0.07381889763779527,0.07381846835832541,0.9921259842519685,0.6663385826771654,0.3080708661417323,0.10433070866141732,0.05216535433070866,0.771872819260293,0.708707332611084,1.0372967720031738,0.8994682431221008,0.8161344528198242,0.733189046382904,0.6877588629722595,0.44983112812042236
resnet50_male,0.90180355,0.08065871,0.6396099,0.13814126,2.317992128612613,0.9478169935796529,0.7868118788479072,0.7832345962524414,0.47368992756920214,0.8815963864326477,0.11359415624613099,0.11363636363636363,0.11361525994124731,0.9967532467532467,0.9707792207792207,0.7077922077922078,0.2987012987012987,0.13636363636363635,0.8463538442491024,0.8109493255615234,1.1081433296203613,1.0340744256973267,0.9492172002792358,0.8674970865249634,0.820696234703064,0.5009774565696716
resnet50_female,0.9297211,0.069523856,0.65879613,0.1515942,2.297362047488756,0.9554301400236047,0.7771195471577041,0.8090556859970093,0.5512536108788795,0.9181160926818848,0.11928934010152284,0.12076749435665914,0.120028417229091,0.9898477157360406,0.9314720812182741,0.6522842639593909,0.26903553299492383,0.13959390862944163,0.33253386004514673,0.8365939259529114,1.0692787170410156,1.0264687538146973,0.9631525278091431,0.8903132081031799,0.8492304086685181,0.7359029650688171
resnet50_all,0.9094334,0.08834359,0.5755063,0.15811351,2.6073547976865603,0.9653088743055974,0.8465451244841777,0.7832468152046204,0.49180065786489646,0.8829632997512817,0.08366141732283465,0.08402390090718771,0.08384265911501118,0.9960629921259843,0.937992125984252,0.5698818897637795,0.1860236220472441,0.05708661417322835,0.9778654919748779,0.8009885549545288,1.0940587520599365,1.0186424255371094,0.9329683780670166,0.8411153554916382,0.7863012552261353,0.27506476640701294
inception_resnet_v2_male,0.91871333,0.084561564,0.62573636,0.13261284,2.634368507224929,0.9727804037920726,0.8595066719834579,0.8261027336120605,0.6894489498404158,0.8883448839187622,0.07142857142857142,0.07298501919029343,0.07220679530943243,0.9853896103896104,0.7451298701298701,0.3327922077922078,0.09902597402597403,0.05194805194805195,0.9961000371425034,0.818721354007721,1.0300745964050293,0.9693626165390015,0.9049249887466431,0.8388075232505798,0.796603798866272,0.25925254821777344
