,Model,Male Acc,Female Acc,Avg Acc,MCC
0,efficientnet_b0,0.9510489702224731,0.7465753555297852,0.8477508425712585,0.7115640044212341
1,xception,0.996503472328186,0.5102739930152893,0.7508650422096252,0.5779951810836792
2,inception_v3,0.9825174808502197,0.6369863152503967,0.8079584836959839,0.6584855318069458
3,efficientnet_b4,0.8181818127632141,0.8424657583236694,0.8304498195648193,0.6609325408935547
4,mobilenetv2_100,0.9055944085121155,0.801369845867157,0.8529411554336548,0.7102676630020142
5,densenet121,0.8041958212852478,0.835616409778595,0.8200691938400269,0.6402416825294495
6,vit_base_patch16_224,0.7377622127532959,0.8630136847496033,0.8010380864143372,0.6060050129890442
7,inception_resnet_v2,0.9160839319229126,0.8253424763679504,0.8702422380447388,0.7439562082290649
8,resnet50,1.0,0.4554794430732727,0.724913477897644,0.5410500168800354
