,Model,Male Acc,Female Acc,Avg Acc,MCC
0,efficientnet_b4_0.75,0.9442622661590576,0.8961538672447205,0.922123908996582,0.8433458209037781
1,densenet121_0.25,0.9956284165382385,0.8243589997291565,0.9168141484260559,0.8412638902664185
2,inception_v3_0.75,0.9726775884628296,0.9166666865348816,0.9469026327133179,0.8937379717826843
3,inception_v3_0.25,0.9595628380775452,0.9166666865348816,0.9398230314254761,0.8790446519851685
4,efficientnet_b4_0.25,0.8918032646179199,0.9615384340286255,0.9238938093185425,0.8506321907043457
5,densenet121_0.75,0.9836065769195557,0.8500000238418579,0.922123908996582,0.8480933308601379
