Generated using PyEER 0.5.5
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
efficientnet_b0_male,0.89927286,0.08422523,0.5489784,0.14555112,2.9458873081865615,0.980918579484998,0.8740515822877722,0.7593777179718018,0.7988289543868431,0.819257915019989,0.06349612710464779,0.06349639253216968,0.06349625981840873,0.9998388416433194,0.8866065008801726,0.3483003991768527,0.08339325118389408,0.0364465822031587,0.8669181993300094,0.7651297450065613,1.1946039199829102,0.9919832348823547,0.8757902979850769,0.7808154821395874,0.7334281206130981,0.38368046283721924
efficientnet_b0_female,0.9056136,0.075120986,0.573456,0.14915375,2.812774475668936,0.9779262006289637,0.8566883989983186,0.7721767425537109,0.794475813681549,0.8280752301216125,0.07349566719758119,0.07350094534977941,0.0734983062736803,0.9961126258672354,0.8164565504953702,0.4177712388305483,0.12125097859244661,0.04444834381664552,0.8595030161159629,0.7914792895317078,1.0826188325881958,0.9708333611488342,0.8974618911743164,0.8180646300315857,0.7676324248313904,0.41331130266189575
efficientnet_b0_all,0.8993378,0.08205962,0.5355642,0.14200942,3.1366524121451764,0.9840762067674431,0.8864311450473326,0.7565517425537109,0.776711254868919,0.8279556035995483,0.057246945409707435,0.05725492294718039,0.057250934178443916,0.9999551619773568,0.8343683443560139,0.3169263535478085,0.06812016590068377,0.026757090012330457,0.8622063808703065,0.7637381553649902,1.2449767589569092,0.9744933247566223,0.8688358068466187,0.7730130553245544,0.7220581769943237,0.38368046283721924
xception_male,0.9265795,0.076058626,0.5851256,0.14958248,2.8776103419019585,0.9821864338884474,0.8780339160623146,0.7987530827522278,0.7904040084264765,0.8516495227813721,0.06213274489871817,0.06214272111094807,0.06213773300483312,0.9987479235365582,0.8111719931569682,0.3669823717551385,0.08237671385713932,0.030421739022636552,0.8503729281336734,0.8069791197776794,1.161336898803711,0.9905318021774292,0.9069631099700928,0.8212457895278931,0.7719716429710388,0.42066285014152527
xception_female,0.92890334,0.072742954,0.55961764,0.166908,2.8683815977203793,0.9804447003025326,0.8572995989514555,0.807538628578186,0.8119258581376007,0.8552389740943909,0.07203509048347889,0.07203790189779445,0.07203649619063668,0.9999325108657506,0.7714547957778798,0.3385794887023189,0.10545852117809033,0.0468239613422239,0.5675953227694247,0.813194751739502,1.1578450202941895,0.9810279607772827,0.911252498626709,0.8370316624641418,0.7875054478645325,0.5127384066581726
xception_all,0.9266179,0.07455807,0.5448026,0.16034925,3.0535070626273004,0.9860402157843772,0.8895226972565335,0.7940159440040588,0.7842145265423381,0.8622173070907593,0.055991480775697794,0.056000081195642745,0.05599578098567027,0.9991817060867616,0.7492209393565744,0.29016926353547806,0.06522811344019729,0.02402197063109517,0.7631430833307191,0.8009610176086426,1.156470775604248,0.9760692119598389,0.8933641314506531,0.8086546659469604,0.7569907903671265,0.42066285014152527
inception_v3_male,0.88607305,0.08091429,0.5611802,0.12572174,3.0731695980494127,0.9830453576589453,0.8752638649421838,0.752971887588501,0.8209102008792603,0.8153314590454102,0.06245506161207944,0.06246585264577603,0.06246045712892774,0.9999876032033322,0.692361093893338,0.2479607269481566,0.07699650410333969,0.037661468276597325,0.9405344314602111,0.7535715699195862,1.1609081029891968,0.9309688210487366,0.8397204875946045,0.7657990455627441,0.724585235118866,0.36060816049575806
inception_v3_female,0.89047587,0.072332986,0.5650728,0.12848788,3.121008464109833,0.9799143603354336,0.8782730573567761,0.7600738406181335,0.8151602055758514,0.7991405129432678,0.06297830197172954,0.06298086008152687,0.0629795810266282,0.9999595065194503,0.9554706692222552,0.4776475987366034,0.09012498987662987,0.02746807763950004,0.7817142342666786,0.7738713026046753,1.1508671045303345,1.0008618831634521,0.8926212787628174,0.7910041809082031,0.7375827431678772,0.459116131067276
inception_v3_all,0.8844802,0.07888422,0.545933,0.12801333,3.184070185380668,0.9845582064402553,0.8826061485825558,0.748018741607666,0.7874161547492324,0.8214707374572754,0.05895079027014909,0.05896003144485801,0.05895541085750355,0.9999775809886784,0.768781526734671,0.2756193251877592,0.07112431341777828,0.030388969846429772,0.9301745152712396,0.7532432079315186,1.1508671045303345,0.9432119131088257,0.845360517501831,0.7632142305374146,0.717432975769043,0.36060816049575806
efficientnet_b4_male,0.8827045,0.09471755,0.54173696,0.13565601,2.914467065202774,0.9784553286954076,0.8555757252881018,0.7389893531799316,0.7946526554067361,0.8098243474960327,0.07229716861846439,0.07229811816626584,0.07229764339236511,0.9999504128133291,0.6923239035033347,0.295527235762279,0.1029677931222572,0.0507276919643964,0.9790932335944402,0.7373979687690735,1.226464867591858,0.9357112646102905,0.8427165746688843,0.7609671354293823,0.7138896584510803,0.25414299964904785
efficientnet_b4_female,0.9020375,0.07972077,0.5734699,0.13639136,2.941269653921423,0.98036313224112,0.8574028172386637,0.769375205039978,0.8079116603965582,0.8222522735595703,0.07233485408849176,0.07233895291257765,0.0723369035005347,0.98131900763977,0.7013875766001674,0.33921388656426316,0.10983181707745053,0.04569014388683422,0.7346043035923292,0.7809984683990479,1.0543670654296875,0.9459142088890076,0.875714898109436,0.8035646677017212,0.7581669092178345,0.4858994781970978
efficientnet_b4_all,0.8844725,0.09323604,0.53068763,0.13877814,2.992576341846614,0.9809180679731092,0.8648416854866986,0.7392842769622803,0.777545000782347,0.8230605125427246,0.0676940991066634,0.06769420468557337,0.06769415189611838,0.9999663714830176,0.6339423831409035,0.27703172290102007,0.09144714718080933,0.04414303329223181,0.9772698334197575,0.7373993992805481,1.2263133525848389,0.9240686893463135,0.8397080302238464,0.7572128772735596,0.7093492746353149,0.25414299964904785
mobilenetv2_100_male,0.9151806,0.07805007,0.60384625,0.14558783,2.6653801432896502,0.971236522323189,0.8379324153440773,0.7985739707946777,0.7323375097123965,0.856208086013794,0.08215357151711998,0.08216126605120776,0.08215741878416387,0.9999876032033322,0.884573426226663,0.5058636848238415,0.14951776460962488,0.06290134629211812,0.8130894808977749,0.8075199127197266,1.2786812782287598,1.0013175010681152,0.9214040040969849,0.8400071263313293,0.7934412956237793,0.4702252149581909
mobilenetv2_100_female,0.90607125,0.071651086,0.5607803,0.15295401,2.891068565879116,0.9785275863612036,0.8671140704190777,0.7801693081855774,0.8029185691001413,0.8197471499443054,0.0687579299732743,0.0687629422886468,0.06876043613096056,0.9999460086926005,0.8972005507113354,0.47238344626515133,0.10813109089436601,0.03609318899657155,0.7906641082200414,0.794395387172699,1.1544002294540405,0.9895889759063721,0.9076381921768188,0.8175857067108154,0.7638995051383972,0.4315626323223114
mobilenetv2_100_all,0.91068566,0.07735324,0.56013805,0.14651266,2.9922297106374263,0.9809409073246032,0.8709987706405375,0.7813550233840942,0.7454307654917255,0.8516726493835449,0.06544109404775249,0.06544922412027289,0.06544515908401269,0.9999887904943392,0.838011433695774,0.3945073422262078,0.09108844299966372,0.03550050442775474,0.7549506275131436,0.7903438806533813,1.2786812782287598,0.9823795557022095,0.8967630863189697,0.8084930181503296,0.7575438022613525,0.4533253014087677
densenet121_male,0.9113931,0.082485065,0.58758414,0.14550993,2.73781361906295,0.9706317385737716,0.8352696102567441,0.7909641265869141,0.7427310525332331,0.854416012763977,0.08268663377383284,0.08268733043399532,0.08268698210391408,1.0,0.9077306424020033,0.463664988966851,0.14246398730568022,0.06640963974908884,0.8813701401485469,0.7944134473800659,1.2089600563049316,1.0049405097961426,0.9163011908531189,0.8304902911186218,0.7791700959205627,0.4158770740032196
densenet121_female,0.9320091,0.06659851,0.58860886,0.15346365,2.9029640966855945,0.9818397792280703,0.8760250627744953,0.809295654296875,0.8151291989820725,0.8531744480133057,0.0642631536322652,0.06426690375438912,0.06426502869332716,0.9962476041357341,0.8505655589450098,0.40417892719272197,0.09293253786140432,0.028412925518991442,0.8407141892500225,0.8258036375045776,1.093759298324585,0.9980865120887756,0.9214185476303101,0.841889500617981,0.792938232421875,0.42527857422828674
densenet121_all,0.91360676,0.08041205,0.57112044,0.14515832,2.9187683691773114,0.977077562387408,0.8570989295285021,0.7808289527893066,0.7316990357895253,0.8618171215057373,0.0718747520303524,0.0718753502970519,0.07187505116370216,1.0,0.8705302096177558,0.4038000224190113,0.11040242125322274,0.047236856854612715,0.8795582587963484,0.7915164828300476,1.2089600563049316,0.9950648546218872,0.9056822061538696,0.8177402019500732,0.7645601034164429,0.4033820331096649
vit_base_patch16_224_male,0.86397576,0.066403896,0.5637385,0.122558534,3.0460873538029687,0.9848580923459939,0.879144208172084,0.7567552328109741,0.8390476260260925,0.8073476552963257,0.060521161331911835,0.06052394139299351,0.06052255136245267,0.87284605657898,0.45393350358267426,0.20148513624079536,0.07145513599285945,0.03751270671658444,0.8240790751257403,0.7515443563461304,0.9301789999008179,0.8684210777282715,0.8180009126663208,0.7606552839279175,0.7239303588867188,0.4425622820854187
vit_base_patch16_224_female,0.86432046,0.06371989,0.5423631,0.13165179,3.113030697028606,0.9840099900310949,0.8711419004261121,0.7526522874832153,0.825605593397182,0.7963757514953613,0.06526199281915612,0.06526852435401098,0.06526525858658355,0.9662419350484572,0.588019328888049,0.2860864400831466,0.08938260939988661,0.034837891099532975,0.6545449941478347,0.7605290412902832,0.9582606554031372,0.885696291923523,0.8371346592903137,0.7756755352020264,0.7310988903045654,0.4749366343021393
