,Model,Male AUC,Female AUC,AUC
0,efficientnet_b0,0.9809185266494751,0.9779261946678162,0.984076201915741
1,xception,0.9821864366531372,0.9804446697235107,0.9860402345657349
2,inception_v3,0.9830453395843506,0.9799143671989441,0.9845582246780396
3,efficientnet_b4,0.9784553050994873,0.980363130569458,0.9809180498123169
4,mobilenetv2_100,0.971236526966095,0.9785275459289551,0.9809409379959106
5,densenet121,0.9706317186355591,0.9818397760391235,0.9770774841308594
6,vit_base_patch16_224,0.9848581552505493,0.9840099811553955,0.985590934753418
7,inception_resnet_v2,0.9785739183425903,0.9701784253120422,0.9807332754135132
8,resnet50,0.9654237627983093,0.9471270442008972,0.9696310758590698
