,Model,Male Acc,Female Acc,Avg Acc,MCC
0,mobilenetv2_100_0.25,0.8833971619606018,0.8989023566246033,0.8892267346382141,0.7702270150184631
1,mobilenetv2_100_0.75,0.8903585076332092,0.9329867362976074,0.9063857793807983,0.8082374930381775
2,efficientnet_b0_0.75,0.9077619314193726,0.9451184272766113,0.9218071103096008,0.8390548825263977
3,densenet121_0.25,0.9467455744743347,0.835355281829834,0.9048653244972229,0.7956693172454834
4,efficientnet_b0_0.25,0.8927949666976929,0.9277874231338501,0.9059513211250305,0.8064759969711304
5,densenet121_0.75,0.939436137676239,0.8885037302970886,0.9202867150306702,0.829782247543335
