,Model,Male Acc,Female Acc,Avg Acc,MCC
0,mobilenetv2_100,0.9846153855323792,0.977011501789093,0.981566846370697,0.9616268873214722
1,vit_base_patch16_224,0.9846153855323792,0.977011501789093,0.981566846370697,0.9616268873214722
2,efficientnet_b4,0.9923076629638672,0.9885057210922241,0.9907833933830261,0.9808134436607361
3,densenet121,0.9846153855323792,0.9655172228813171,0.9769585132598877,0.9519861936569214
4,inception_v3,0.9692307710647583,1.0,0.981566846370697,0.9626147150993347
5,resnet50,1.0,0.5517241358757019,0.8202764987945557,0.6514623165130615
6,inception_resnet_v2,0.9769230484962463,1.0,0.9861751198768616,0.971781313419342
7,efficientnet_b0,0.9923076629638672,0.954023003578186,0.9769585132598877,0.9521574378013611
8,xception,1.0,1.0,1.0,1.0
