,Model,AUC
0,efficientnet_b0,0.9775699377059937
1,xception,0.9852422475814819
2,inception_v3,0.9887255430221558
3,efficientnet_b4,0.9777325391769409
4,mobilenetv2_100,0.9642571210861206
5,densenet121,0.9789468050003052
6,vit_base_patch16_224,0.981305718421936
7,inception_resnet_v2,0.96600341796875
8,resnet50,0.9278083443641663
