,Model,Male Acc,Female Acc,Avg Acc,MCC
0,efficientnet_b0,0.9613644480705261,0.8082033395767212,0.9037793278694153,0.7939891815185547
1,xception,0.9947789907455444,0.6811091899871826,0.876846194267273,0.7469848990440369
2,inception_v3,0.9074138402938843,0.8648180365562439,0.8913987874984741,0.7694887518882751
3,efficientnet_b4,0.7438217997550964,0.9809358716011047,0.8329713344573975,0.7032650113105774
4,mobilenetv2_100,0.891054630279541,0.924321174621582,0.9035621285438538,0.8014193773269653
5,densenet121,0.9450052380561829,0.9335644245147705,0.9407037496566772,0.874424934387207
6,vit_base_patch16_224,0.8078663349151611,0.850953221321106,0.8240660429000854,0.6429018378257751
7,inception_resnet_v2,0.8388444185256958,0.9572501182556152,0.8833622932434082,0.7736371159553528
8,resnet50,0.9530107975006104,0.6291161179542542,0.8312336802482605,0.6382414102554321
