,Model,Male AUC,Female AUC,AUC
0,mobilenetv2_100,0.9416817426681519,0.9378799796104431,0.9514145255088806
1,vit_base_patch16_224,0.9410892724990845,0.9385508298873901,0.946600079536438
2,efficientnet_b4,0.9161931872367859,0.9259339570999146,0.9335050582885742
3,densenet121,0.9412530660629272,0.9279588460922241,0.9491156339645386
4,inception_v3,0.9494006633758545,0.9293714761734009,0.9517561197280884
5,resnet50,0.9000585079193115,0.9417017698287964,0.9320704340934753
6,inception_resnet_v2,0.9396931529045105,0.9446277618408203,0.9522092938423157
7,efficientnet_b0,0.9208071231842041,0.9181666374206543,0.93059241771698
8,xception,0.9524272680282593,0.9247148036956787,0.9529493451118469
