,Model,Male Acc,Female Acc,Avg Acc,MCC
0,mobilenetv2_100,0.8076363801956177,0.8342351317405701,0.8189420700073242,0.636162281036377
1,vit_base_patch16_224,0.8163636326789856,0.7943925261497498,0.8070248961448669,0.6077842116355896
2,efficientnet_b4,0.8116363883018494,0.8465322256088257,0.8264687657356262,0.6520586609840393
3,densenet121,0.8996363878250122,0.7486473321914673,0.8354589343070984,0.6616573929786682
4,inception_v3,0.8999999761581421,0.7132316827774048,0.8206146955490112,0.6313154697418213
5,resnet50,0.8850908875465393,0.7993113398551941,0.8486305475234985,0.6890038251876831
6,inception_resnet_v2,0.5989090800285339,0.9321200251579285,0.7405394315719604,0.5427733063697815
7,efficientnet_b0,0.9025454521179199,0.7870142459869385,0.8534392714500427,0.6987137198448181
8,xception,0.8905454277992249,0.7934087514877319,0.84925776720047,0.6901220083236694
