,Model,AUC
0,efficientnet_b0,0.9497143030166626
1,xception,0.7018911242485046
2,inception_v3,0.7818299531936646
3,efficientnet_b4,0.8991972804069519
4,mobilenetv2_100,0.8719727993011475
5,densenet121,0.6676836609840393
6,vit_base_patch16_224,0.9550611972808838
7,inception_resnet_v2,0.8441972732543945
8,resnet50,0.6253809928894043
