,Model,Young-Male,Young-Female,Middle Aged-Male,Middle Aged-Female,Old-Male,Old-Female
0,efficientnet_b0,0.949999988079071,0.9104762077331543,0.9238095283508301,0.903030276298523,0.9523809552192688,0.855555534362793
1,xception,0.8766666650772095,0.9676190614700317,0.9285714030265808,0.9333333373069763,0.961904764175415,0.9333333373069763
2,inception_v3,0.9666666388511658,0.9485714435577393,0.9238095283508301,0.8666666746139526,0.9523809552192688,0.8333333134651184
3,efficientnet_b4,0.9200000166893005,0.9580952525138855,0.976190447807312,0.939393937587738,1.0,0.9222221970558167
4,mobilenetv2_100,0.9066666960716248,0.9466666579246521,0.9666666388511658,0.9212121367454529,0.9809523820877075,0.8999999761581421
5,densenet121,0.9783333539962769,0.9047619104385376,0.9904761910438538,0.8909090757369995,1.0,0.8111110925674438
6,vit_base_patch16_224,0.8816666603088379,0.9238095283508301,0.8857142925262451,0.8606060743331909,0.961904764175415,0.8222222328186035
7,inception_resnet_v2,0.8883333206176758,0.9714285731315613,0.9571428298950195,0.9151515364646912,0.8857142925262451,0.9111111164093018
8,resnet50,0.9683333039283752,0.8990476131439209,0.9809523820877075,0.8606060743331909,0.9904761910438538,0.7222222089767456
