,Model,Male Acc,Female Acc,Avg Acc,MCC
0,mobilenetv2_100,0.7465454339981079,0.8450565934181213,0.7884173393249512,0.5849452614784241
1,vit_base_patch16_224,0.8225454688072205,0.7835710644721985,0.8059794902801514,0.6043832898139954
2,efficientnet_b4,0.8410909175872803,0.812100350856781,0.8287685513496399,0.6510746479034424
3,densenet121,0.6792727112770081,0.9026069641113281,0.7742003202438354,0.5807086229324341
4,inception_v3,0.861090898513794,0.7648794651031494,0.8201965093612671,0.6303859949111938
5,resnet50,0.8989090919494629,0.7781603336334229,0.8475852012634277,0.6865898966789246
6,inception_resnet_v2,0.9494545459747314,0.6369896531105042,0.8166422843933105,0.6327463388442993
7,efficientnet_b0,0.6578181982040405,0.9016231894493103,0.7614467740058899,0.5603333711624146
8,xception,0.71345454454422,0.9163797497749329,0.799707293510437,0.6264161467552185
