,Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,Spectrum,Gender
0,mobilenetv2_100,0.85137224,0.112216145,0.57680464,0.13592735,2.202940153440277,0.9371318912608996,0.7491691173751345,0.7384242415428162,0.5002839098761925,0.8691419959068298,0.1265940324377863,0.1266233766233766,0.1266087045305814,0.9772727272727272,0.8977272727272727,0.5909090909090909,0.2808441558441558,0.1590909090909091,0.928314968428872,0.7343873381614685,1.0295445919036863,0.974039912223816,0.8901228904724121,0.8029271364212036,0.7543148398399353,0.3784027099609375,VIS,male
1,mobilenetv2_100,0.88034964,0.08233269,0.57914156,0.13546473,2.687143491747077,0.9663966982159022,0.8387744783490506,0.7540266513824463,0.6289617571721343,0.8291428089141846,0.0862020316027088,0.0862944162436548,0.0862482239231818,1.0,0.9949238578680204,0.6065989847715736,0.1700507614213198,0.0634517766497461,0.4994356659142212,0.7661342620849609,1.1892706155776978,1.0523256063461304,0.9116706848144532,0.8040997982025146,0.7568765878677368,0.5725765228271484,VIS,female
2,mobilenetv2_100,0.8603904,0.10652704,0.5207647,0.14623724,2.654730287651509,0.9635569203971626,0.82648472314565,0.7298818826675415,0.5479991212801647,0.8550299406051636,0.0895669291338582,0.0897374389392882,0.0896521840365732,1.0,0.889763779527559,0.4458661417322834,0.1476377952755905,0.0797244094488189,0.8321920795533845,0.7213081121444702,1.1891816854476929,0.973285436630249,0.8619414567947388,0.7652790546417236,0.7124790549278259,0.3783476948738098,VIS,all
3,vit_base_patch16_224,0.8207322,0.07973668,0.5776319,0.11317967,2.483229592835372,0.95944020539322,0.8030000209027075,0.7318229079246521,0.6153592763007273,0.8163511157035828,0.098984771573604,0.099025974025974,0.099005372799789,0.939935064935065,0.7045454545454546,0.4318181818181818,0.2077922077922078,0.099025974025974,0.9780240188188684,0.7280150651931763,0.916256070137024,0.8663116693496704,0.8236448764801025,0.7645001411437988,0.7274562120437622,0.3578691482543945,VIS,male
4,vit_base_patch16_224,0.8188207,0.08967875,0.5602652,0.11201769,2.548227005358013,0.9599799045501942,0.7877280253463349,0.7023926973342896,0.6465688006077922,0.8179510831832886,0.1065989847715736,0.1079288939051918,0.1072639393383827,0.8020304568527918,0.6446700507614214,0.4365482233502538,0.2258883248730964,0.1269035532994923,0.4637415349887133,0.7031071186065674,0.903940200805664,0.868986964225769,0.8116278648376465,0.7474179863929749,0.7079780697822571,0.569063663482666,VIS,female
5,vit_base_patch16_224,0.81717867,0.0912159,0.5273706,0.11938619,2.7278908870858,0.9676238497027324,0.840018702847943,0.6929662227630615,0.6202012364417334,0.8177437782287598,0.0826771653543307,0.0831079902302861,0.0828925777923084,0.906496062992126,0.6181102362204725,0.3562992125984252,0.1358267716535433,0.062007874015748,0.995900209351012,0.7013401985168457,0.915064811706543,0.8564755916595459,0.8016033172607422,0.7309529781341553,0.6877216100692749,0.2460461258888244,VIS,all
6,efficientnet_b4,0.88718444,0.10452403,0.5755548,0.13722137,2.554900365668803,0.9596856112192872,0.8288641066745561,0.759868860244751,0.6103910368125658,0.866144061088562,0.0876563080351615,0.0876623376623376,0.0876593228487496,0.9935064935064936,0.8603896103896104,0.4545454545454545,0.1590909090909091,0.0746753246753246,0.998266683174446,0.7660603523254395,1.0692007541656494,0.9791028499603271,0.893445611000061,0.8068877458572388,0.7561179399490356,0.2153670787811279,VIS,male
7,efficientnet_b4,0.8953189,0.09102017,0.55171484,0.14108187,2.894245038701592,0.9769743815242176,0.8511941251962278,0.7493683099746704,0.6936801606105681,0.8408934473991394,0.0761421319796954,0.077313769751693,0.0767279508656942,0.9086294416243654,0.6725888324873096,0.3959390862944162,0.1243654822335025,0.0634517766497461,0.271303611738149,0.755422830581665,1.0070946216583252,0.9407830238342284,0.8808146715164185,0.78733229637146,0.7345846891403198,0.6401073932647705,VIS,female
8,efficientnet_b4,0.88794833,0.104088336,0.5261413,0.14807044,2.8269956021248834,0.9714388992793598,0.8623029435521536,0.7473436594009399,0.6116738030535662,0.8650561571121216,0.0688976377952756,0.0694783670621074,0.0691880024286915,0.9881889763779528,0.7883858267716536,0.3553149606299212,0.1023622047244094,0.0551181102362204,0.9834263782274948,0.7476595044136047,1.0676910877227783,0.9646480083465576,0.8697023391723633,0.7718968391418457,0.7175764441490173,0.2152735292911529,VIS,all
9,densenet121,0.89429593,0.09974659,0.6035777,0.14160345,2.373668191076145,0.9555366247594178,0.8228188024678058,0.7781149744987488,0.5678462254731694,0.8667084574699402,0.094094341958648,0.0941558441558441,0.094125093057246,0.9983766233766234,0.8733766233766234,0.538961038961039,0.1883116883116883,0.0876623376623376,0.9876191655317568,0.7918828725814819,1.1081424951553345,0.9805619716644288,0.9139791131019592,0.8347880840301514,0.7875654697418213,0.2612117528915405,VIS,male
