,Experiment ID,AUC,EER,ZeroFMR,FMR10,FMR20,FMR100,FMR1000,Train Balance,Test Balance
54,DenseNet121,0.9834602,0.059,0.9984,0.0216,0.0826,0.3924,0.9664,F100,F50M50
55,DenseNet121,0.99245362,0.0334,0.9758,0.003,0.017,0.1922,0.8826,F50M50,F50M50
56,DenseNet121,0.98827956,0.0406,0.993,0.0092,0.032,0.3018,0.986,M100,F50M50
57,EfficientNetB0,0.98805908,0.0502,0.6972,0.0166,0.051,0.3066,0.648,F100,F50M50
58,EfficientNetB0,0.99218504,0.031,0.7996,0.0018,0.0106,0.3088,0.6636,F50M50,F50M50
59,EfficientNetB0,0.9892350000000002,0.0402,0.9118,0.0062,0.0244,0.2902,0.8736,M100,F50M50
60,EfficientNetB4,0.9875398,0.0512,0.8246,0.0192,0.0528,0.3032,0.7468,F100,F50M50
61,EfficientNetB4,0.99416272,0.0276,0.974,0.0032,0.0104,0.1186,0.821,F50M50,F50M50
62,EfficientNetB4,0.98740982,0.0464,0.8128,0.0146,0.0412,0.3326,0.6752,M100,F50M50
63,InceptionResNetV2,0.98277748,0.0604,0.9908,0.026,0.0852,0.3804,0.846,F100,F50M50
64,InceptionResNetV2,0.9897656,0.039,0.963,0.0064,0.0238,0.3116,0.9198,F50M50,F50M50
65,InceptionResNetV2,0.98711416,0.046,0.9532,0.013,0.0392,0.3318,0.8972,M100,F50M50
66,InceptionV3,0.97608288,0.0726,0.9834,0.0466,0.1166,0.4538,0.8794,F100,F50M50
67,InceptionV3,0.99203428,0.0348,0.9992,0.0018,0.0146,0.1912,0.8632,F50M50,F50M50
68,InceptionV3,0.98264938,0.0554,0.9988,0.0172,0.0684,0.44,0.982,M100,F50M50
69,MobileNetV2,0.98197748,0.058,0.9612,0.0234,0.0732,0.5044,0.89,F100,F50M50
70,MobileNetV2,0.98831278,0.0418,0.9576,0.007,0.0326,0.2454,0.9382,F50M50,F50M50
71,MobileNetV2,0.98430424,0.0576,0.975,0.025,0.0692,0.3386,0.8892,M100,F50M50
72,ResNet50,0.9896556,0.0441,0.9732,0.0104,0.0378,0.25,0.804,F100,F50M50
73,ResNet50,0.99383648,0.0298,0.899,0.0004,0.0096,0.114,0.8432,F50M50,F50M50
74,ResNet50,0.98793336,0.0478,0.979,0.0144,0.0458,0.311,0.8732,M100,F50M50
75,VGG19,0.98841496,0.044,0.9466,0.0062,0.0354,0.3068,0.8764,F100,F50M50
76,VGG19,0.99074216,0.039,0.9528,0.0034,0.0222,0.2854,0.8886,F50M50,F50M50
77,VGG19,0.98868192,0.0366,0.9824,0.004,0.02,0.3766,0.9142,M100,F50M50
78,Xception,0.98544732,0.0582,0.7946,0.021,0.0708,0.3306,0.6968,F100,F50M50
79,Xception,0.99124852,0.0288,0.9264,0.002,0.0116,0.2134,0.8506,F50M50,F50M50
80,Xception,0.98657116,0.0448,0.9992,0.0146,0.0372,0.403,0.924,M100,F50M50
