,Model,Male AUC,Female AUC,AUC
0,efficientnet_b0,0.9913076162338257,0.9897266030311584,0.9903652667999268
1,xception,0.9931945204734802,0.9963719248771667,0.9929311871528625
2,inception_v3,0.9915248155593872,0.9930468797683716,0.9926717281341553
3,efficientnet_b4,0.9926280975341797,0.983001708984375,0.990917444229126
4,mobilenetv2_100,0.989342212677002,0.9926908612251282,0.9865700602531433
5,densenet121,0.9947227835655212,0.9950780868530273,0.9948182106018066
6,vit_base_patch16_224,0.996073305606842,0.9939941763877869,0.9967295527458191
7,inception_resnet_v2,0.9821644425392151,0.9892259240150452,0.9841570258140564
8,resnet50,0.9823097586631775,0.9886894226074219,0.984750509262085
