,Model,AUC
0,efficientnet_b0,0.9988053441047668
1,xception,0.999695897102356
2,inception_v3,0.9999485015869141
3,efficientnet_b4,0.9988218545913696
4,mobilenetv2_100,0.9993308782577515
5,densenet121,0.9998270869255066
6,vit_base_patch16_224,0.9999973773956299
7,inception_resnet_v2,0.9973359107971191
8,resnet50,0.9994949102401733
