,Model,Male Acc,Female Acc,Avg Acc,MCC
0,efficientnet_b0,0.9570339322090149,0.7673649191856384,0.8838297724723816,0.7544118165969849
1,xception,0.979902982711792,0.7364939451217651,0.8859574198722839,0.7635504007339478
2,inception_v3,0.9154539108276367,0.7905181646347046,0.8672340512275696,0.7173170447349548
3,efficientnet_b4,0.878031849861145,0.7629547715187073,0.8336170315742493,0.646549642086029
4,mobilenetv2_100,0.939708948135376,0.7199559211730957,0.8548936247825623,0.6914031505584717
5,densenet121,0.9230769276618958,0.7739801406860352,0.8655319213867188,0.7133833169937134
6,vit_base_patch16_224,0.8988218903541565,0.7497243881225586,0.8412765860557556,0.6612950563430786
7,inception_resnet_v2,0.9501039385795593,0.7221609950065613,0.8621276617050171,0.7080285549163818
8,resnet50,0.9265419244766235,0.7442116737365723,0.8561702370643616,0.6932069063186646
