,Model,Male Acc,Female Acc,Avg Acc,MCC
0,efficientnet_b0,0.4864864945411682,0.8794520497322083,0.6423913240432739,0.3775721490383148
1,xception,0.8090090155601501,0.30136987566947937,0.6076086759567261,0.12739889323711395
2,inception_v3,0.7495495676994324,0.5232876539230347,0.6597825884819031,0.2783002257347107
3,efficientnet_b4,0.4126126170158386,0.7863013744354248,0.560869574546814,0.2063758224248886
4,mobilenetv2_100,0.6324324607849121,0.6547945141792297,0.6413043737411499,0.2812270522117615
5,densenet121,0.32792791724205017,0.7424657344818115,0.49239131808280945,0.0751500204205513
6,vit_base_patch16_224,0.38738739490509033,0.5534246563911438,0.4532608687877655,-0.05885464325547218
7,inception_resnet_v2,0.42702701687812805,0.6602739691734314,0.519565224647522,0.0874686911702156
8,resnet50,0.4144144058227539,0.682191789150238,0.520652174949646,0.09756721556186676
