,Model,Male AUC,Female AUC,AUC
0,efficientnet_b0,0.9840624332427979,0.9824846982955933,0.9878520369529724
1,xception,0.9858227372169495,0.988368570804596,0.9913696646690369
2,inception_v3,0.9830567240715027,0.9803289175033569,0.9869607090950012
3,efficientnet_b4,0.9855185747146606,0.9838808178901672,0.9897031784057617
4,mobilenetv2_100,0.9790301322937012,0.9776269197463989,0.9843186140060425
5,densenet121,0.987855851650238,0.9872114658355713,0.9901670217514038
6,vit_base_patch16_224,0.9721648097038269,0.9828095436096191,0.9830729961395264
7,inception_resnet_v2,0.9836528301239014,0.9876271486282349,0.9901405572891235
8,resnet50,0.9842409491539001,0.9862339496612549,0.9877709150314331
