,Model,South Asian-Female,South Asian-Male,White-Male,White-Female,Latino-Female,Black-Male,Latino-Male,East Asian-Male,Black-Female
0,mobilenetv2_100,0.8176100850105286,0.7551803588867188,0.7119460701942444,0.8646517992019653,0.9090909361839294,0.7559808492660522,0.9009901285171509,0.8181818127632141,0.9634146094322205
1,vit_base_patch16_224,0.8292902112007141,0.8104374408721924,0.8680154085159302,0.7082785964012146,0.7142857313156128,0.6650717854499817,0.9405940771102905,0.7171717286109924,0.9268292784690857
2,efficientnet_b4,0.7969452142715454,0.8526477217674255,0.8516377806663513,0.8199737071990967,0.7532467246055603,0.7320573925971985,0.7920792102813721,0.8585858345031738,1.0
3,densenet121,0.8769092559814453,0.6907137632369995,0.6791907548904419,0.9264126420021057,0.9350649118423462,0.6507176756858826,0.5247524976730347,0.747474730014801,1.0
4,inception_v3,0.7520215511322021,0.863392174243927,0.863198459148407,0.7555847764015198,0.8051947951316833,0.7990430593490601,0.9405940771102905,0.8585858345031738,0.9878048896789551
5,resnet50,0.7376459836959839,0.9270913004875183,0.8959537744522095,0.809461236000061,0.8181818127632141,0.7751196026802063,0.8910890817642212,0.8282828330993652,1.0
6,inception_resnet_v2,0.580413281917572,0.9577897191047668,0.9556840062141418,0.6964520215988159,0.5064935088157654,0.9090909361839294,0.8811880946159363,0.9292929172515869,0.9756097793579102
7,efficientnet_b0,0.9065588712692261,0.593246340751648,0.7437379360198975,0.8830485939979553,0.9090909361839294,0.6315789222717285,0.7029703259468079,0.6161616444587708,1.0
8,xception,0.9110512137413025,0.6930161118507385,0.736994206905365,0.9119579792022705,0.948051929473877,0.7464115023612976,0.7326732873916626,0.6464646458625793,1.0
