,Model,AUC
0,efficientnet_b0,0.982088565826416
1,xception,0.9837205410003662
2,inception_v3,0.9909998774528503
3,efficientnet_b4,0.9887523651123047
4,mobilenetv2_100,0.9886471033096313
5,densenet121,0.9819689393043518
6,vit_base_patch16_224,0.9824337363243103
7,inception_resnet_v2,0.991653561592102
8,resnet50,0.9898827075958252
