Generated using PyEER 0.5.5
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
efficientnet_b0_male,0.93956417,0.067049116,0.5846258,0.13451575,3.339713249336863,0.9913075665782326,0.9188057143901776,0.8084588050842285,0.9001475482596033,0.8456904888153076,0.04065063411629665,0.04066205112166273,0.04065634261897969,0.9994400739102438,0.5859906492343011,0.1438590106105994,0.0323777261401495,0.014404098658977014,0.6833364135225043,0.8074493408203125,1.1634221076965332,0.9616270065307617,0.8729392290115356,0.7967999577522278,0.7562801241874695,0.5144540071487427
efficientnet_b0_female,0.92778635,0.07839858,0.5392197,0.13404194,3.538748706771194,0.9897265580674127,0.9166295278140323,0.7684169411659241,0.9027963028913154,0.8202621936798096,0.041707279837469025,0.041707666159763845,0.041707472998616435,0.987208158153681,0.6103631809643081,0.14377404061186153,0.03558010555505859,0.020708471240719204,0.6580273155379142,0.7682100534439087,1.060049295425415,0.9564088582992554,0.8590978384017944,0.7543703317642212,0.7038328051567078,0.48244142532348633
efficientnet_b0_all,0.9349245,0.07194056,0.546416,0.14528103,3.38911360476726,0.9903652856915861,0.9165507848855731,0.7930630445480347,0.8962339586703604,0.8314540386199951,0.04174748874263942,0.04175613254308072,0.04175181064286007,0.9996536196744025,0.6301783858676827,0.16581226186352616,0.035053688950467614,0.016825424315898858,0.6666765096707515,0.7932363748550415,1.163211464881897,0.9651552438735962,0.8750648498535156,0.7820346355438232,0.7340415716171265,0.48244142532348633
xception_male,0.9336308,0.06701501,0.59010863,0.121604934,3.498888637142493,0.9931944973319251,0.9236348876640502,0.7923440933227539,0.9052157791102656,0.8324030637741089,0.038298598276989566,0.03829894453932081,0.038298771408155186,0.9853719309051205,0.48094851479604694,0.1298468602144517,0.028360256446149108,0.011744449732635292,0.6039670467146229,0.7980029582977295,1.0526649951934814,0.9402205944061279,0.8579257726669312,0.7847158908843994,0.7449166178703308,0.5616181492805481
xception_female,0.9237632,0.06506973,0.55508256,0.11505979,3.9444257071724365,0.9963719366983329,0.9435966405736798,0.7864481210708618,0.937973061506753,0.813233494758606,0.02862510063511942,0.028630817469730955,0.028627959052425187,0.7788487342338313,0.1966410233473477,0.060157438053493155,0.016392342785580105,0.00780481259504428,0.6303653423837093,0.7798773050308228,0.9752874374389648,0.8745155930519104,0.8161520957946777,0.7535954713821411,0.7122669219970703,0.5126205086708069
xception_all,0.92919034,0.06698496,0.5646748,0.12927665,3.540534990661224,0.992931196592318,0.927093399152341,0.7901923656463623,0.9048755693040442,0.8202672004699707,0.03666026871401152,0.03666435746449602,0.03666231308925377,0.9995497055767233,0.6875043297540699,0.135694492552823,0.025415656390717006,0.010114305507447177,0.6551285566640653,0.7931665778160095,1.1012409925460815,0.9674341678619385,0.8565024137496948,0.7761564254760742,0.7330632209777832,0.5126205086708069
inception_v3_male,0.91494125,0.07573973,0.5607408,0.11254854,3.6924255102542625,0.9915248055699402,0.9153894149081132,0.7643362283706665,0.8911259092948104,0.8070241808891296,0.04255438282146757,0.04255636746182935,0.04255537514164846,0.9963884767210728,0.5741202161314707,0.16981158487079706,0.034897393544052184,0.013690192894537922,0.6563148616758124,0.7697038650512695,1.0808556079864502,0.9375003576278687,0.8453565835952759,0.7597715854644775,0.7135714888572693,0.5069835782051086
inception_v3_female,0.9067712,0.078749515,0.54142827,0.115462594,3.6968355994107798,0.9930468239392589,0.9199442201135456,0.7547776699066162,0.910030238742958,0.7970306277275085,0.04038822792736381,0.04039787206557608,0.04039304999646995,0.7698139368458717,0.3123043206011271,0.10873065569371142,0.033388496287682264,0.016459432865193666,0.6720197761676042,0.7523154020309448,0.9669665098190308,0.877101719379425,0.8109608888626099,0.7404209971427917,0.6949380040168762,0.4828992187976837
inception_v3_all,0.9139552,0.07746731,0.5463923,0.11675315,3.709873020718666,0.9926717238582634,0.9197691012866527,0.7549664974212646,0.9007227326426479,0.8018046617507935,0.04017000274197971,0.040171458261170766,0.04017073050157524,0.9155697956356079,0.47027190855559403,0.1359975753377208,0.031226186352615173,0.013907170072739868,0.6877180401172723,0.7610660791397095,1.0069687366485596,0.9176028966903687,0.8306416273117065,0.7478785514831543,0.7017064094543457,0.4828992187976837
efficientnet_b4_male,0.9353401,0.0705505,0.54086,0.14202358,3.517934726373843,0.9926280960121987,0.9231999754099617,0.7895859479904175,0.9067201574624318,0.8311731219291687,0.03859290573644279,0.0385935856245202,0.038593245680481496,0.9954506005207313,0.5642235224950306,0.1235896861614267,0.030739942327612756,0.014418096811220919,0.5385722612379518,0.7853989601135254,1.0803537368774414,0.9575649499893188,0.8572344779968262,0.7699941396713257,0.724498987197876,0.5308239459991455
efficientnet_b4_female,0.92132896,0.083986945,0.5544131,0.14416592,3.1100363486251226,0.9830017218565891,0.8899084359118999,0.7883725166320801,0.8714899547274507,0.8257637619972229,0.05572949279899812,0.05574671473700281,0.055738103768000466,0.9918597370068879,0.659249485642723,0.22976115931657573,0.06040343501207621,0.03600500939261114,0.7941293906262844,0.7829382419586182,1.074310064315796,0.9602566957473755,0.8764638304710388,0.7895806431770325,0.7452363967895508,0.43035128712654114
