,Model,AUC
0,efficientnet_b0,0.9628435373306274
1,xception,0.9859795570373535
2,inception_v3,0.9996054172515869
3,efficientnet_b4,0.9797143340110779
4,mobilenetv2_100,0.9527822732925415
5,densenet121,0.984333336353302
6,vit_base_patch16_224,0.9903810024261475
7,inception_resnet_v2,0.9727143049240112
8,resnet50,0.957843542098999
