,Model,Male AUC,Female AUC,AUC
0,efficientnet_b0,0.9507336616516113,0.9517257809638977,0.9626129865646362
1,xception,0.9680504202842712,0.9386352300643921,0.9679033756256104
2,inception_v3,0.9526817798614502,0.9391218423843384,0.9612802267074585
3,efficientnet_b4,0.9578366279602051,0.9462968111038208,0.9661828279495239
4,mobilenetv2_100,0.9402053356170654,0.940398633480072,0.9564228057861328
5,densenet121,0.9647641181945801,0.9357614517211914,0.9645002484321594
6,vit_base_patch16_224,0.9830271005630493,0.9817680716514587,0.9883303642272949
7,inception_resnet_v2,0.9544515013694763,0.9614534378051758,0.9660182595252991
8,resnet50,0.9039209485054016,0.9037704467773438,0.9287152290344238
