,Model,Male Acc,Female Acc,Avg Acc,MCC
0,efficientnet_b0_0.75,0.9570339322090149,0.7243660688400269,0.8672340512275696,0.7198591232299805
1,xception_0.25,0.9584199786186218,0.671444296836853,0.8476595878601074,0.6794959306716919
2,xception_0.75,0.9840610027313232,0.6449834704399109,0.8531914949417114,0.6992657780647278
3,inception_v3_0.75,0.9334719181060791,0.7342888712882996,0.8565957546234131,0.6944724321365356
4,inception_v3_0.25,0.9667359590530396,0.732083797454834,0.8761702179908752,0.74029541015625
5,efficientnet_b0_0.25,0.9930700063705444,0.6582139134407043,0.8638297915458679,0.7243760228157043
