,Model,Male Acc,Female Acc,Avg Acc,MCC
0,efficientnet_b0,0.9318962693214417,0.9597262144088745,0.9470000267028809,0.8932066559791565
1,xception,0.9503280520439148,0.947617769241333,0.9488571286201477,0.897122859954834
2,inception_v3,0.9500156044960022,0.9526191353797913,0.9514285922050476,0.9022060036659241
3,efficientnet_b4,0.9390815496444702,0.951566219329834,0.9458571672439575,0.8908931612968445
4,mobilenetv2_100,0.9184629917144775,0.9615688323974609,0.9418571591377258,0.8830137848854065
5,densenet121,0.9634489417076111,0.9447222948074341,0.9532856941223145,0.9064225554466248
6,vit_base_patch16_224,0.9237738251686096,0.8199526071548462,0.8674286007881165,0.7416095733642578
7,inception_resnet_v2,0.9590752720832825,0.9605159163475037,0.959857165813446,0.9191755652427673
8,resnet50,0.9915651082992554,0.7673071622848511,0.869857132434845,0.7658942937850952
