,Model,Male AUC,Female AUC,AUC
0,efficientnet_b0,0.9887685775756836,0.9923792481422424,0.9914966225624084
1,xception,0.9813012480735779,0.9911673069000244,0.9856581687927246
2,inception_v3,0.9922117590904236,0.9925275444984436,0.9933091402053833
3,efficientnet_b4,0.9949840307235718,0.9911288022994995,0.9944316744804382
4,mobilenetv2_100,0.9844076037406921,0.9883285164833069,0.9873958826065063
5,densenet121,0.9856740832328796,0.9916740655899048,0.9889915585517883
6,vit_base_patch16_224,0.9964222311973572,0.9859545826911926,0.9963588714599609
7,inception_resnet_v2,0.9910434484481812,0.9728854894638062,0.9915793538093567
8,resnet50,0.9792153835296631,0.9794050455093384,0.9865853786468506
