,Model,Male AUC,Female AUC,AUC
0,mobilenetv2_100,0.9861096739768982,0.9697850942611694,0.981165885925293
1,vit_base_patch16_224,0.9827909469604492,0.9626905918121338,0.9768800735473633
2,efficientnet_b4,0.9808717966079712,0.9654841423034668,0.9756453037261963
3,densenet121,0.9894359111785889,0.9747260808944702,0.9840611219406128
4,inception_v3,0.9827529788017273,0.9706820845603943,0.9802519083023071
5,resnet50,0.9824345111846924,0.960472822189331,0.9775121212005615
6,inception_resnet_v2,0.9784265756607056,0.9707176685333252,0.9779015779495239
7,efficientnet_b0,0.9850378632545471,0.9675058126449585,0.9786133766174316
8,xception,0.9867678880691528,0.9788601994514465,0.9842455983161926
