,Model,South Asian-Female,South Asian-Male,White-Male,White-Female,Latino-Female,Black-Male,Latino-Male,East Asian-Male,Black-Female
0,mobilenetv2_100,0.8283917307853699,0.8273215889930725,0.7967244982719421,0.8331143260002136,0.7532467246055603,0.6889952421188354,0.8514851331710815,0.868686854839325,1.0
1,vit_base_patch16_224,0.758310854434967,0.8963929414749146,0.7148362398147583,0.8265440464019775,0.8831169009208679,0.7129186391830444,0.9207921028137207,0.939393937587738,0.9024389982223511
2,efficientnet_b4,0.8328840732574463,0.8564850091934204,0.7716763019561768,0.8475689888000488,0.8701298832893372,0.6507176756858826,0.8910890817642212,0.8989899158477783,1.0
3,densenet121,0.698113203048706,0.9017651677131653,0.9315991997718811,0.7831799983978271,0.8701298832893372,0.679425835609436,0.9108911156654358,0.9898989796638489,1.0
4,inception_v3,0.6639712452888489,0.9347659349441528,0.8728323578834534,0.7818659543991089,0.4675324559211731,0.7846890091896057,0.9504950642585754,0.9191918969154358,0.9756097793579102
5,resnet50,0.7960467338562012,0.9263238906860352,0.8670520186424255,0.7831799983978271,0.8051947951316833,0.6985645890235901,0.8415841460227966,0.9797979593276978,0.9878048896789551
6,inception_resnet_v2,0.9020664691925049,0.6937835812568665,0.5452793836593628,0.9697766304016113,0.9220778942108154,0.2583732008934021,0.5841584205627441,0.6464646458625793,1.0
7,efficientnet_b0,0.758310854434967,0.9470452666282654,0.8622350692749023,0.8252299427986145,0.5974025726318359,0.8038277626037598,0.9405940771102905,0.9090909361839294,1.0
8,xception,0.7852650284767151,0.9255564212799072,0.8612716794013977,0.8015768527984619,0.6103895902633667,0.7416267991065979,0.9900990128517151,0.9494949579238892,1.0
