,Model,Male Acc,Female Acc,Avg Acc,MCC
0,mobilenetv2_100,0.932539701461792,0.9405405521392822,0.9359267950057983,0.8696731328964233
1,vit_base_patch16_224,0.9563491940498352,0.7891891598701477,0.8855835199356079,0.7677631974220276
2,efficientnet_b4,0.9603174328804016,0.908108115196228,0.9382150769233704,0.8732907176017761
3,densenet121,0.9285714030265808,0.9405405521392822,0.9336384534835815,0.8652233481407166
4,inception_v3,0.9642857313156128,0.8594594597816467,0.9199084639549255,0.8366584777832031
5,resnet50,0.6190476417541504,0.9405405521392822,0.7551487684249878,0.5690029859542847
6,inception_resnet_v2,0.9365079402923584,0.9459459185600281,0.9405034184455872,0.8790102601051331
7,efficientnet_b0,0.920634925365448,0.9189189076423645,0.9199084639549255,0.8367763757705688
8,xception,0.976190447807312,0.8216215968132019,0.9107551574707031,0.8204575181007385
