,Experiment ID,AUC,EER,ZeroFMR,FMR10,FMR20,FMR100,FMR1000,Train Balance,Test Balance
53,EfficientNetB0,0.98402584,0.0682,0.8332,0.0312,0.1028,0.3092,0.666,F75M25,M100
54,EfficientNetB0,0.98504418,0.0608,0.7382,0.0286,0.075,0.2954,0.6262,M100,M100
55,EfficientNetB4,0.97413224,0.0816,0.9358,0.0586,0.1442,0.5172,0.8028,F100,M100
56,EfficientNetB4,0.98911188,0.0528,0.8186,0.02,0.055,0.2154,0.5804,F25M75,M100
57,EfficientNetB4,0.9873274,0.055,0.7678,0.018,0.0614,0.3072,0.6198,F50M50,M100
58,EfficientNetB4,0.98463704,0.0626,0.7226,0.0324,0.084,0.2948,0.5998,F75M25,M100
59,EfficientNetB4,0.98770376,0.0548,0.8184,0.023,0.061,0.2466,0.5384,M100,M100
60,InceptionResNetV2,0.97393332,0.0822,0.9566,0.0618,0.159,0.4542,0.795,F100,M100
61,InceptionResNetV2,0.98217432,0.0676,0.8452,0.033,0.1024,0.3608,0.7554,F25M75,M100
62,InceptionResNetV2,0.98820188,0.0552,0.7346,0.0192,0.065,0.2494,0.5138,F50M50,M100
63,InceptionResNetV2,0.97886332,0.076,0.7956,0.0504,0.1282,0.3826,0.6648,F75M25,M100
64,InceptionResNetV2,0.98301012,0.0656,0.8876,0.0326,0.0922,0.3462,0.7038,M100,M100
65,InceptionV3,0.96126568,0.1004,0.9616,0.1008,0.2448,0.5616,0.8416,F100,M100
66,InceptionV3,0.9779512,0.0726,0.9452,0.044,0.1244,0.4344,0.802,F25M75,M100
67,InceptionV3,0.98415388,0.0636,0.8244,0.0298,0.089,0.3212,0.6526,F50M50,M100
68,InceptionV3,0.96425474,0.1012,0.9322,0.1042,0.2268,0.528,0.7948,F75M25,M100
69,InceptionV3,0.97576076,0.0764,0.9352,0.0522,0.1402,0.4734,0.753,M100,M100
70,MobileNetV2,0.96717066,0.0938,0.8422,0.0836,0.2098,0.5096,0.7812,F100,M100
71,MobileNetV2,0.98091384,0.0696,0.8992,0.037,0.1028,0.4062,0.7558,F25M75,M100
72,MobileNetV2,0.98119824,0.0668,0.8342,0.0306,0.1066,0.4018,0.749,F50M50,M100
73,MobileNetV2,0.970421,0.0888,0.8306,0.0732,0.1786,0.5244,0.7292,F75M25,M100
74,MobileNetV2,0.977227,0.0784,0.9194,0.055,0.1398,0.3882,0.6384,M100,M100
75,ResNet50,0.97249632,0.0824,0.9644,0.0592,0.1626,0.4868,0.7328,F100,M100
76,ResNet50,0.9878938,0.0546,0.838,0.0198,0.062,0.2812,0.576,F25M75,M100
77,ResNet50,0.98539218,0.059,0.9668,0.0272,0.0766,0.2984,0.7654,F50M50,M100
